customer_id,R_score,F_score,M_score,rfm_score,persona
6734-PSBAW,5,5,3,553,Potential Loyalists
3930-ZGWVE,3,1,1,311,About to Sleep
2639-UGMAZ,4,5,4,454,Champions
2876-GZYZC,1,2,3,123,Lost Customers
6207-WIOLX,3,3,3,333,Potential Loyalists
8587-XYZSF,5,5,4,554,Champions
3091-FYHKI,1,1,1,111,Lost Customers
2372-HWUHI,2,1,1,211,Lost Customers
7799-LGRDP,5,4,3,543,Potential Loyalists
7850-VWJUU,3,3,3,333,Potential Loyalists
3774-VBNXY,5,5,3,553,Potential Loyalists
6217-KDYWC,5,4,3,543,Potential Loyalists
0390-DCFDQ,1,1,1,111,Lost Customers
3146-MSEGF,5,5,5,555,Champions
4080-OGPJL,2,2,2,222,Lost Customers
1095-WGNGG,4,5,5,455,Champions
2636-SJDOU,4,5,5,455,Champions
1131-QQZEB,5,5,3,553,Potential Loyalists
5716-EZXZN,4,5,5,455,Champions
6837-BJYDQ,4,1,1,411,About to Sleep
2135-RXIHG,1,1,1,111,Lost Customers
6440-DKQGE,4,3,3,433,Potential Loyalists
3466-BYAVD,3,2,3,323,About to Sleep
3780-YVMFA,2,2,2,222,Lost Customers
3874-EQOEP,1,2,2,122,Lost Customers
1679-JRFBR,3,5,5,355,Loyal Customers
9073-ZZIAY,5,5,5,555,Champions
3077-RSNTJ,4,1,1,411,About to Sleep
6551-GNYDG,2,2,3,223,Lost Customers
9167-APMXZ,2,3,3,233,At Risk
2749-CTKAJ,5,3,2,532,Potential Loyalists
6371-NZYEG,5,2,3,523,About to Sleep
7554-NEWDD,5,2,1,521,About to Sleep
8992-VONJD,3,2,2,322,About to Sleep
0867-MKZVY,2,2,3,223,Lost Customers
4482-EWFMI,1,1,1,111,Lost Customers
4648-YPBTM,4,4,4,444,Champions
2907-ILJBN,4,2,1,421,About to Sleep
6345-FZOQH,5,5,3,553,Potential Loyalists
3376-BMGFE,1,1,2,112,Lost Customers
5997-OPVFA,5,5,5,555,Champions
3445-HXXGF,2,4,4,244,At Risk
1159-WFSGR,4,2,2,422,About to Sleep
7654-YWJUF,4,4,4,444,Champions
1875-QIVME,1,1,1,111,Lost Customers
6727-IOTLZ,4,2,3,423,About to Sleep
0691-JVSYA,3,4,5,345,Loyal Customers
5918-VUKWP,5,3,2,532,Potential Loyalists
1744-JHKYS,4,3,2,432,Potential Loyalists
2656-FMOKZ,2,2,3,223,Lost Customers
2070-FNEXE,2,2,2,222,Lost Customers
5947-SGKCL,1,2,3,123,Lost Customers
3712-PKXZA,5,5,3,553,Potential Loyalists
6317-YPKDH,1,1,1,111,Lost Customers
6582-OIVSP,2,1,1,211,Lost Customers
9367-WXLCH,1,2,2,122,Lost Customers
5524-KHNJP,4,3,4,434,Loyal Customers
1918-ZBFQJ,2,2,3,223,Lost Customers
1024-GUALD,1,1,1,111,Lost Customers
4827-USJHP,3,2,3,323,About to Sleep
8167-GJLRN,2,1,1,211,Lost Customers
0956-SYCWG,4,2,1,421,About to Sleep
8017-UVSZU,3,3,4,334,Loyal Customers
7100-FQPRV,4,4,4,444,Champions
2472-OVKUP,1,1,2,112,Lost Customers
2984-RGEYA,5,5,3,553,Potential Loyalists
9680-NIAUV,4,5,5,455,Champions
2146-EGVDT,5,4,3,543,Potential Loyalists
2604-IJPDU,2,2,3,223,Lost Customers
9178-JHUVJ,5,3,2,532,Potential Loyalists
6168-YBYNP,2,4,5,245,At Risk
7255-SSFBC,4,5,5,455,Champions
3645-DEYGF,3,1,1,311,About to Sleep
9323-HGFWY,3,3,4,334,Loyal Customers
8544-GOQSH,2,2,3,223,Lost Customers
3363-DTIVD,4,5,5,455,Champions
7018-WBJNK,2,2,3,223,Lost Customers
9142-KZXOP,3,4,4,344,Loyal Customers
7674-YTAFD,3,3,4,334,Loyal Customers
6348-SNFUS,5,5,4,554,Champions
1285-OKIPP,1,1,1,111,Lost Customers
7825-ECJRF,2,2,3,223,Lost Customers
1347-KTTTA,3,5,5,355,Loyal Customers
7841-TZDMQ,2,1,1,211,Lost Customers
4195-NZGTA,1,1,1,111,Lost Customers
7157-SMCFK,5,5,3,553,Potential Loyalists
4709-LKHYG,4,3,2,432,Potential Loyalists
2504-DSHIH,1,3,3,133,At Risk
0699-NDKJM,3,4,4,344,Loyal Customers
9286-BHDQG,5,5,4,554,Champions
0230-WEQUW,5,5,4,554,Champions
2040-LDIWQ,5,5,5,555,Champions
6496-JDSSB,1,2,2,122,Lost Customers
9408-SSNVZ,1,1,2,112,Lost Customers
4443-EMBNA,5,5,3,553,Potential Loyalists
6469-MRVET,3,1,1,311,About to Sleep
0742-MOABM,3,1,1,311,About to Sleep
5961-VUSRV,4,2,1,421,About to Sleep
6778-JFCMK,3,3,3,333,Potential Loyalists
6341-JVQGF,4,3,4,434,Loyal Customers
2232-DMLXU,1,1,1,111,Lost Customers
4811-JBUVU,2,3,4,234,At Risk
0945-TSONX,5,4,4,544,Champions
2651-ZCBXV,4,4,5,445,Champions
3316-UWXUY,3,4,5,345,Loyal Customers
8937-RDTHP,1,1,1,111,Lost Customers
7083-MIOPC,5,5,3,553,Potential Loyalists
1984-GPTEH,4,3,2,432,Potential Loyalists
1251-KRREG,2,1,1,211,Lost Customers
0621-JFHOL,4,2,2,422,About to Sleep
9903-LYSAB,1,2,3,123,Lost Customers
0094-OIFMO,1,2,3,123,Lost Customers
9227-UAQFT,5,2,2,522,About to Sleep
7301-ABVAD,5,5,5,555,Champions
6614-FHDBO,4,5,5,455,Champions
7576-ASEJU,4,4,4,444,Champions
9058-HRZSV,3,5,5,355,Loyal Customers
4522-AKYLR,2,2,2,222,Lost Customers
0221-WMXNQ,1,1,2,112,Lost Customers
0303-UNCIP,4,4,4,444,Champions
9947-OTFQU,2,2,3,223,Lost Customers
0322-YINQP,2,1,1,211,Lost Customers
0959-WHOKV,3,4,4,344,Loyal Customers
4075-JFPGR,3,4,5,345,Loyal Customers
4629-NRXKX,1,1,1,111,Lost Customers
9514-JDSKI,1,1,1,111,Lost Customers
3282-ZISZV,4,3,4,434,Loyal Customers
3675-YDUPJ,3,2,1,321,About to Sleep
4111-BNXIF,4,5,4,454,Champions
7017-VFHAY,4,5,5,455,Champions
6655-LHBYW,3,4,5,345,Loyal Customers
4959-JOSRX,2,1,1,211,Lost Customers
5046-NUHWD,2,3,3,233,At Risk
7273-TEFQD,1,1,1,111,Lost Customers
3606-TWKGI,1,2,3,123,Lost Customers
7529-ZDFXI,2,4,5,245,At Risk
7605-BDWDC,5,3,3,533,Potential Loyalists
1950-KSVVJ,3,4,5,345,Loyal Customers
0123-CRBRT,5,5,5,555,Champions
6292-TOSSS,5,4,3,543,Potential Loyalists
3197-ARFOY,2,2,3,223,Lost Customers
6323-AYBRX,5,4,3,543,Potential Loyalists
7014-ZZXAW,5,5,3,553,Potential Loyalists
4385-GZQXV,1,2,3,123,Lost Customers
7633-MVPUY,5,4,4,544,Champions
6366-ZGQGL,1,1,1,111,Lost Customers
4716-HHKQH,1,2,4,124,Lost Customers
5940-AHUHD,1,1,1,111,Lost Customers
6432-TWQLB,1,1,2,112,Lost Customers
4484-GLZOU,1,4,5,145,At Risk
3179-GBRWV,3,3,3,333,Potential Loyalists
8645-KWHJO,2,2,2,222,Lost Customers
4130-MZLCC,3,1,1,311,About to Sleep
0314-TKOSI,3,1,2,312,About to Sleep
8229-MYEJZ,3,2,2,322,About to Sleep
2080-SRCDE,3,1,1,311,About to Sleep
9577-WJVCQ,4,5,4,454,Champions
9512-UIBFX,2,2,3,223,Lost Customers
6202-DYYFX,3,3,3,333,Potential Loyalists
3808-HFKDE,3,2,2,322,About to Sleep
5583-SXDAG,1,1,1,111,Lost Customers
3488-PGMQJ,1,2,2,122,Lost Customers
3580-REOAC,3,2,2,322,About to Sleep
7534-BFESC,1,3,3,133,At Risk
3727-OWVYD,4,3,3,433,Potential Loyalists
2294-SALNE,4,3,3,433,Potential Loyalists
4847-TAJYI,1,1,2,112,Lost Customers
1563-IWQEX,4,2,1,421,About to Sleep
8203-XJZRC,3,1,1,311,About to Sleep
6556-DBKZF,4,5,5,455,Champions
6851-WEFYX,1,3,4,134,At Risk
2985-JUUBZ,2,3,4,234,At Risk
6390-DSAZX,1,1,1,111,Lost Customers
0895-LMRSF,3,3,3,333,Potential Loyalists
8098-LLAZX,1,1,2,112,Lost Customers
8266-VBFQL,1,1,2,112,Lost Customers
8181-YHCMF,5,5,4,554,Champions
2240-HSJQD,3,3,4,334,Loyal Customers
1248-DYXUB,5,4,3,543,Potential Loyalists
0265-EDXBD,2,3,4,234,At Risk
4115-BNPJY,5,3,4,534,Loyal Customers
3167-SNQPL,2,3,4,234,At Risk
4091-TVOCN,4,4,4,444,Champions
1098-TDVUQ,2,1,1,211,Lost Customers
7277-OZCGZ,2,3,3,233,At Risk
1557-EMYVT,4,4,5,445,Champions
2799-ARNLO,1,1,2,112,Lost Customers
7563-BIUPC,1,1,2,112,Lost Customers
5027-YOCXN,3,4,5,345,Loyal Customers
3973-SKMLN,5,5,3,553,Potential Loyalists
2321-OMBXY,4,3,4,434,Loyal Customers
2840-XANRC,1,3,4,134,At Risk
6745-JEFZB,2,3,4,234,At Risk
5020-ZSTTY,4,4,4,444,Champions
9880-TDQAC,4,5,4,454,Champions
8705-WZCYL,1,1,1,111,Lost Customers
7102-JJVTX,4,2,2,422,About to Sleep
8626-PTQGE,5,5,4,554,Champions
4983-CLMLV,2,4,5,245,At Risk
5701-YVSVF,1,2,2,122,Lost Customers
5804-LEPIM,1,1,1,111,Lost Customers
5697-GOMBF,2,3,3,233,At Risk
2739-CACDQ,2,2,3,223,Lost Customers
9385-EHGDO,5,3,2,532,Potential Loyalists
9498-FIMXL,4,2,1,421,About to Sleep
2379-GYFLQ,3,4,4,344,Loyal Customers
0122-OAHPZ,1,2,2,122,Lost Customers
2868-SNELZ,1,1,1,111,Lost Customers
4322-RCYMT,4,5,5,455,Champions
6680-NENYN,3,4,5,345,Loyal Customers
2088-IEBAU,4,5,5,455,Champions
7982-VCELR,2,3,4,234,At Risk
1343-EHPYB,2,5,5,255,At Risk
6035-BXTTY,4,3,3,433,Potential Loyalists
6885-PKOAM,5,5,5,555,Champions
7520-HQWJU,4,5,5,455,Champions
9639-BUJXT,5,5,3,553,Potential Loyalists
5924-SNGKP,5,4,2,542,Potential Loyalists
0021-IKXGC,1,1,1,111,Lost Customers
2034-GDRCN,1,1,1,111,Lost Customers
8966-SNIZF,5,5,3,553,Potential Loyalists
6243-OZGFH,2,3,3,233,At Risk
4654-DLAMQ,4,5,5,455,Champions
0513-RBGPE,5,3,4,534,Loyal Customers
5160-UXJED,4,2,2,422,About to Sleep
4115-NZRKS,1,2,2,122,Lost Customers
0219-YTZUE,1,1,2,112,Lost Customers
0623-IIHUG,2,3,2,232,At Risk
4572-DVCGN,1,2,2,122,Lost Customers
3351-NGXYI,2,2,2,222,Lost Customers
8984-EYLLL,4,5,5,455,Champions
9057-MSWCO,3,3,2,332,Potential Loyalists
9833-TGFHX,3,4,4,344,Loyal Customers
9294-TDIPC,3,1,1,311,About to Sleep
5229-DTFYB,4,4,4,444,Champions
0104-PPXDV,4,4,4,444,Champions
5176-LMJXE,5,4,3,543,Potential Loyalists
3583-KRKMD,2,2,3,223,Lost Customers
1010-DIAUQ,1,1,2,112,Lost Customers
9069-LGEUL,3,3,3,333,Potential Loyalists
7302-ZHMHP,3,1,1,311,About to Sleep
9571-EDEBV,3,5,5,355,Loyal Customers
3520-FJGCV,4,5,5,455,Champions
6563-VRERX,5,3,2,532,Potential Loyalists
0259-GBZSH,1,1,1,111,Lost Customers
6122-EFVKN,5,3,2,532,Potential Loyalists
2805-EDJPQ,3,4,5,345,Loyal Customers
6862-CQUMB,2,3,4,234,At Risk
7156-MXBJE,4,4,4,444,Champions
6158-HDPXZ,1,1,1,111,Lost Customers
9601-BRXPO,2,3,4,234,At Risk
2863-IMQDR,5,5,5,555,Champions
5686-CMAWK,3,2,3,323,About to Sleep
5651-CRHKQ,4,4,4,444,Champions
6905-NIQIN,2,1,1,211,Lost Customers
8204-YJCLA,5,5,5,555,Champions
5167-ZFFMM,1,1,1,111,Lost Customers
6583-SZVGP,3,4,5,345,Loyal Customers
4895-TMWIR,3,2,1,321,About to Sleep
0533-BNWKF,2,4,5,245,At Risk
1708-PBBOA,4,4,4,444,Champions
8782-LKFPK,2,4,4,244,At Risk
5522-JBWMO,2,1,1,211,Lost Customers
3597-MVHJT,1,3,4,134,At Risk
9774-NRNAU,2,3,4,234,At Risk
0224-RLWWD,1,1,1,111,Lost Customers
9967-ATRFS,4,2,2,422,About to Sleep
3951-NJCVI,1,4,4,144,At Risk
2977-CEBSX,5,5,5,555,Champions
0177-PXBAT,2,3,4,234,At Risk
6599-CEBNN,3,3,4,334,Loyal Customers
2519-ERQOJ,2,3,3,233,At Risk
5876-QMYLD,5,3,2,532,Potential Loyalists
2277-AXSDC,5,3,2,532,Potential Loyalists
9442-JTWDL,4,2,1,421,About to Sleep
0979-PHULV,2,5,5,255,At Risk
3067-SVMTC,5,5,4,554,Champions
5495-GPSRW,5,2,2,522,About to Sleep
7606-BPHHN,5,5,3,553,Potential Loyalists
4742-DRORA,3,4,5,345,Loyal Customers
0111-KLBQG,2,3,4,234,At Risk
4800-VHZKI,2,1,1,211,Lost Customers
7989-CHGTL,2,1,1,211,Lost Customers
0334-GDDSO,1,1,1,111,Lost Customers
4163-NCJAK,4,4,3,443,Potential Loyalists
5233-AOZUF,2,3,4,234,At Risk
5973-EJGDP,2,4,5,245,At Risk
1996-DBMUS,2,4,4,244,At Risk
7916-VCCPB,3,2,3,323,About to Sleep
4686-GEFRM,4,5,5,455,Champions
5249-QYHEX,5,3,3,533,Potential Loyalists
0578-SKVMF,2,3,3,233,At Risk
5564-NEMQO,1,1,1,111,Lost Customers
2233-FAGXV,3,1,1,311,About to Sleep
5605-IYGFG,2,2,2,222,Lost Customers
7663-ZTEGJ,3,3,4,334,Loyal Customers
3935-TBRZZ,5,4,3,543,Potential Loyalists
8111-BKVDS,3,2,2,322,About to Sleep
2055-SIFSS,3,4,4,344,Loyal Customers
2806-MLNTI,2,4,5,245,At Risk
8734-DKSTZ,1,2,2,122,Lost Customers
4360-PNRQB,2,2,3,223,Lost Customers
6152-ONASV,5,5,4,554,Champions
9063-ZGTUY,4,5,3,453,Potential Loyalists
7781-HVGMK,5,5,5,555,Champions
2181-UAESM,2,1,1,211,Lost Customers
2957-LOLHO,3,2,2,322,About to Sleep
6048-NJXHX,5,4,2,542,Potential Loyalists
2320-SLKMB,3,3,3,333,Potential Loyalists
4980-URKXC,5,3,2,532,Potential Loyalists
4376-KFVRS,4,5,5,455,Champions
5886-VLQVU,2,3,4,234,At Risk
3577-AMVUX,2,1,1,211,Lost Customers
0771-WLCLA,2,2,3,223,Lost Customers
5628-RKIFK,2,4,5,245,At Risk
0206-TBWLC,3,4,5,345,Loyal Customers
2937-FTHUR,3,2,3,323,About to Sleep
1910-FMXJM,2,3,4,234,At Risk
7752-XUSCI,2,4,5,245,At Risk
4110-PFEUZ,1,1,1,111,Lost Customers
0732-OCQOC,5,4,3,543,Potential Loyalists
5168-MSWXT,1,2,2,122,Lost Customers
1090-ESELR,5,5,5,555,Champions
8592-PLTMQ,5,5,3,553,Potential Loyalists
5760-WRAHC,3,3,3,333,Potential Loyalists
8847-GEOOQ,3,4,4,344,Loyal Customers
0256-LTHVJ,2,3,4,234,At Risk
4785-FCIFB,5,5,3,553,Potential Loyalists
8313-NDOIA,1,3,4,134,At Risk
5149-CUZUJ,4,3,4,434,Loyal Customers
0942-KOWSM,5,3,4,534,Loyal Customers
4237-CLSMM,3,1,1,311,About to Sleep
1452-VOQCH,1,1,1,111,Lost Customers
4719-UMSIY,4,1,1,411,About to Sleep
6614-VBEGU,3,3,3,333,Potential Loyalists
0880-TKATG,1,1,2,112,Lost Customers
3811-VBYBZ,1,2,2,122,Lost Customers
1480-BKXGA,4,5,5,455,Champions
2996-XAUVF,5,5,4,554,Champions
9076-AXYIK,3,5,5,355,Loyal Customers
5968-XQIVE,3,5,5,355,Loyal Customers
8896-RAZCR,5,4,2,542,Potential Loyalists
4640-UHDOS,3,2,2,322,About to Sleep
4933-IKULF,4,2,2,422,About to Sleep
3583-EKAPL,1,1,1,111,Lost Customers
1304-BCCFO,2,2,2,222,Lost Customers
4104-PVRPS,4,3,3,433,Potential Loyalists
9399-APLBT,1,1,1,111,Lost Customers
2359-KMGLI,2,3,3,233,At Risk
3780-DDGSE,3,3,4,334,Loyal Customers
4431-EDMIQ,3,2,2,322,About to Sleep
0306-JAELE,1,1,2,112,Lost Customers
6227-HWPWX,2,2,3,223,Lost Customers
0486-LGCCH,5,2,1,521,About to Sleep
0447-BEMNG,3,4,4,344,Loyal Customers
4612-SSVHJ,1,2,3,123,Lost Customers
5168-MQQCA,3,5,5,355,Loyal Customers
5949-XIKAE,1,2,2,122,Lost Customers
7971-HLVXI,4,5,5,455,Champions
9094-AZPHK,1,2,3,123,Lost Customers
3649-JPUGY,5,5,5,555,Champions
4472-LVYGI,1,1,1,111,Lost Customers
8372-JUXUI,1,1,1,111,Lost Customers
3552-CTCYF,4,5,5,455,Champions
6778-YSNIH,1,1,1,111,Lost Customers
0388-EOPEX,1,1,1,111,Lost Customers
5756-OZRIO,4,5,4,454,Champions
6579-JPICP,3,1,1,311,About to Sleep
8205-OTCHB,3,3,2,332,Potential Loyalists
4134-BSXLX,4,3,3,433,Potential Loyalists
0505-SPOOW,5,5,3,553,Potential Loyalists
6235-VDHOM,2,1,1,211,Lost Customers
7783-YKGDV,2,2,3,223,Lost Customers
4374-YMUSQ,3,3,4,334,Loyal Customers
4513-CXYIX,4,5,5,455,Champions
3957-HHLMR,4,5,5,455,Champions
7803-XOCCZ,3,4,4,344,Loyal Customers
5736-YEJAX,5,5,5,555,Champions
5609-CEBID,1,2,3,123,Lost Customers
8981-FJGLA,2,2,2,222,Lost Customers
7218-HKQFK,1,1,1,111,Lost Customers
4636-QRJKY,1,1,2,112,Lost Customers
1135-LMECX,3,1,1,311,About to Sleep
4332-MUOEZ,3,2,3,323,About to Sleep
8535-SFUTN,2,5,5,255,At Risk
5956-VKDTT,1,1,2,112,Lost Customers
8677-HDZEE,2,4,5,245,At Risk
2475-MROZF,3,3,4,334,Loyal Customers
9412-GHEEC,2,3,4,234,At Risk
3482-ABPKK,4,3,3,433,Potential Loyalists
6705-LXORM,1,1,2,112,Lost Customers
0257-ZESQC,2,3,3,233,At Risk
7531-GQHME,4,2,2,422,About to Sleep
5174-ITUMV,3,5,5,355,Loyal Customers
4109-CYRBD,2,3,3,233,At Risk
0913-XWSCN,3,4,5,345,Loyal Customers
6825-UYPFK,2,3,3,233,At Risk
8397-MVTAZ,1,3,4,134,At Risk
0750-EBAIU,3,4,5,345,Loyal Customers
8606-CIQUL,4,5,5,455,Champions
3571-DPYUH,3,4,5,345,Loyal Customers
7601-GNDYK,5,3,2,532,Potential Loyalists
0356-OBMAC,4,4,5,445,Champions
8067-NIOYM,5,3,2,532,Potential Loyalists
1403-GYAFU,5,5,3,553,Potential Loyalists
4234-XTNEA,1,1,1,111,Lost Customers
1297-VQDRP,3,5,5,355,Loyal Customers
9282-IZGQK,1,1,1,111,Lost Customers
5348-CAGXB,1,2,3,123,Lost Customers
0621-HJWXJ,3,5,5,355,Loyal Customers
5844-QVTAT,4,3,3,433,Potential Loyalists
8905-IAZPF,3,5,5,355,Loyal Customers
5394-MEITZ,5,4,5,545,Champions
6859-QNXIQ,4,5,5,455,Champions
2782-LFZVW,2,2,2,222,Lost Customers
2866-IKBTM,3,1,1,311,About to Sleep
1342-JPNKI,1,2,2,122,Lost Customers
2817-NTQDO,3,2,2,322,About to Sleep
7129-AZJDE,3,3,4,334,Loyal Customers
6986-IJDHX,3,3,4,334,Loyal Customers
2560-PPCHE,3,5,5,355,Loyal Customers
4676-MQUEA,3,4,5,345,Loyal Customers
8138-EALND,4,2,2,422,About to Sleep
3580-HYCSP,4,5,5,455,Champions
1352-HNSAW,4,5,5,455,Champions
2075-PUEPR,5,4,3,543,Potential Loyalists
1982-FEBTD,5,3,2,532,Potential Loyalists
5301-GAUUY,2,3,4,234,At Risk
5791-KAJFD,4,4,4,444,Champions
2654-VBVPB,3,1,1,311,About to Sleep
1154-HYWWO,5,3,4,534,Loyal Customers
2501-XWWTZ,2,2,2,222,Lost Customers
3716-UVSPD,1,1,1,111,Lost Customers
6815-ABQFQ,2,4,5,245,At Risk
7343-EOBEU,3,1,1,311,About to Sleep
3701-SFMUH,3,2,2,322,About to Sleep
6103-LIANB,3,4,5,345,Loyal Customers
7319-VENRZ,3,2,2,322,About to Sleep
5846-NEQVZ,5,5,5,555,Champions
6967-QIQRV,3,2,3,323,About to Sleep
5781-RFZRP,5,5,5,555,Champions
0939-YAPAF,1,3,4,134,At Risk
0308-IVGOK,3,2,2,322,About to Sleep
7293-LSCDV,5,4,3,543,Potential Loyalists
7025-WCBNE,5,4,4,544,Champions
5756-JYOJT,4,2,2,422,About to Sleep
4710-FDUIZ,3,4,5,345,Loyal Customers
6030-REHUX,1,3,4,134,At Risk
9548-LIGTA,5,5,5,555,Champions
5150-LJNSR,3,3,4,334,Loyal Customers
8270-RKSAP,1,2,2,122,Lost Customers
6522-YRBXD,2,3,4,234,At Risk
2640-LYMOV,3,1,1,311,About to Sleep
1218-VKFPE,4,2,1,421,About to Sleep
3627-FHKBK,1,1,1,111,Lost Customers
2865-TCHJW,1,1,2,112,Lost Customers
1423-BMPBQ,2,1,1,211,Lost Customers
2393-DIVAI,3,1,1,311,About to Sleep
5192-EBGOV,1,1,1,111,Lost Customers
4568-KNYWR,5,4,4,544,Champions
8752-IMQOS,4,1,1,411,About to Sleep
